Timestamp,Methane_Feed_,Reactor_Pressu,Reactor_Temper,Heating_Power_,Catalyst_Cycle_,Catalyst_Activity,Catalyst_Carbon,H2_Yield_Rate,Carbon_Quality_,H2_Purity_Post_,Energy_Consum,Net_Profit_Margin_Index,hour,day_of_week,is_weekend,efficiency_ratio,catalyst_performance
2025-10-29 08:00:00,687.2700594,2.415969893,1064.399176,479.8935336,0.0,0.970009882,1.122964944,160.6184538,83.75535042,99.98981054,179260.3919,0.636603484,8,2,0,0.0008960013759661096,0.8561693697029341
2025-10-29 09:00:00,975.3571532,2.364425797,1111.086466,579.2136037,1.5,0.933916023,0.735749357,140.0572105,91.51325867,99.99640748,248128.8107,0.465468228,9,2,0,0.0005644513656173921,1.2523189114865036
2025-10-29 10:00:00,865.9969709,4.671891032,1102.032186,565.5634612,3.0,0.95754141,0.789654267,146.2597006,84.72185325,99.99023836,232012.6989,0.49416212,10,2,0,0.0006303925211891874,1.1974442574943454
2025-10-29 11:00:00,799.3292421,2.373411699,980.7799809,538.281972,4.5,1.0,0.855653503,87.92160951,89.25236524,99.98176744,367337.7078,0.322445142,11,2,0,0.0002393475221725599,1.1551966191257936
2025-10-29 12:00:00,578.0093202,2.451824041,979.8498939,450.3808574,6.0,1.0,1.024277781,80.93374704,87.47657883,99.99215045,333887.0062,0.357739107,12,2,0,0.00024239788652821636,0.9668582448258162
2025-10-29 13:00:00,577.9972602,4.157893918,1003.634874,503.5178416,7.5,1.0,0.959530244,108.4345841,88.08681927,99.98598088,278606.4666,0.41935271,13,2,0,0.00038920200317416764,1.031427339362092
2025-10-29 14:00:00,529.0418061,3.074089449,1022.214945,442.8563829,9.0,1.0,1.32233919,119.9877218,96.55854825,99.98391607,221458.7342,0.528204752,14,2,0,0.0005418037831276328,0.7505596228840195
2025-10-29 15:00:00,933.0880729,4.218486949,1031.691116,550.9202972,10.5,0.966402252,0.740461759,210.6032318,92.30801229,99.9858292,156950.7511,0.725680044,15,2,0,0.0013418342281878498,1.287743499799035
2025-10-29 16:00:00,800.5575059,1.728781551,1085.939443,568.9132807,12.0,0.928704561,0.941670349,166.7221787,82.23804856,99.99271252,204741.8456,0.55551813,16,2,0,0.0008143003884283222,0.9758679168431252
2025-10-29 17:00:00,854.0362889,3.206499178,961.3360864,505.4582943,13.5,1.0,1.272104435,46.38055267,93.76244044,99.99629381,653881.482,0.194592559,17,2,0,7.093102192941147e-05,0.7799676630866659
2025-10-29 18:00:00,510.2922471,1.617647601,956.9345408,478.548222,15.0,0.994679572,0.990658406,12.85704269,92.66077366,99.99241465,2233242.616,0.078069409,18,2,0,5.757116061089862e-06,0.9940250999100687
2025-10-29 19:00:00,984.9549261,1.719286212,1028.382113,534.9297008,16.5,0.959755343,1.213600629,223.3233577,88.72492725,99.99316012,143721.1645,0.786321339,19,2,0,0.001553854678413224,0.7843697692312971
2025-10-29 20:00:00,916.2213204,4.672531087,1089.432738,624.9333246,18.0,0.936263911,1.508682127,189.5004619,87.58388967,99.99236523,197860.7375,0.570982189,20,2,0,0.000957741826663177,0.6164976161598035
2025-10-29 21:00:00,606.1695553,1.987358799,988.6870686,480.0888214,19.5,0.987490299,0.859676185,93.0254965,89.84804753,99.99050664,309649.7981,0.382808662,21,2,0,0.00030042065795017885,1.1354689435355758
2025-10-29 22:00:00,590.9124836,3.363472388,1078.300896,546.0827073,21.0,0.941863614,1.068938029,127.0868055,93.23087906,99.99348465,257821.5649,0.450106493,22,2,0,0.0004929235171843565,0.8729543205303036
2025-10-29 23:00:00,591.7022549,2.938834609,1001.965628,446.6764988,22.5,1.0,0.958730247,109.0877772,87.55919777,99.97790612,245687.9351,0.476508092,23,2,0,0.00044400769271761965,1.0322791128870368
2025-10-30 00:00:00,652.1211215,2.715701642,1127.217222,520.1955628,24.0,0.92346522,0.748298621,51.31279469,84.83679014,99.99055544,608263.5062,0.203213201,0,3,0,8.435934394818712e-05,1.217812078811627
2025-10-30 01:00:00,762.3782158,4.64941671,1129.137989,569.4596591,25.5,0.92707162,1.079808628,65.23381202,83.00271708,99.98477537,523771.2175,0.227915067,1,3,0,0.00012454614781090407,0.8506737753593926
2025-10-30 02:00:00,715.9725093,1.576381889,1009.457441,559.9253978,27.0,1.0,1.199169878,151.1994686,85.59625704,99.99581451,222204.4557,0.513904615,2,3,0,0.0006804489481308446,0.8270136547347899
2025-10-30 03:00:00,645.6145701,3.823263902,995.9987508,485.1853342,28.5,0.984172453,1.118366659,118.0244241,96.50357964,99.98926422,246659.0285,0.475015439,3,3,0,0.00047849027188448577,0.872209795592693
